id,time,water
0,2022-04-25,49.323057272727276
1,2022-04-26,57.93539875
2,2022-04-27,117.45377583333334
3,2022-04-28,70.15728208333333
4,2022-04-29,135.53680125
5,2022-04-30,106.91146583333334
6,2022-05-01,84.72044666666666
7,2022-05-02,43.747367499999996
8,2022-05-03,112.22284333333333
9,2022-05-04,144.46819166666668
10,2022-05-05,104.05207291666666
11,2022-05-06,101.16879125000001
12,2022-05-07,89.85287958333333
13,2022-05-08,98.48997250000001
14,2022-05-09,117.98125416666666
15,2022-05-10,121.39970416666667
16,2022-05-11,122.3219125
17,2022-05-12,146.21041666666667
18,2022-05-13,172.22083333333333
19,2022-05-14,158.891925
20,2022-05-15,108.83735833333333
21,2022-05-16,128.01000416666668
22,2022-05-17,168.69852916666665
23,2022-05-18,166.60695
24,2022-05-19,165.73547083333332
25,2022-05-20,169.385625
26,2022-05-21,169.220025
27,2022-05-22,176.14064166666665
28,2022-05-23,173.6003125
29,2022-05-24,169.88647083333333
30,2022-05-25,193.38061666666667
31,2022-05-26,185.64925416666665
32,2022-05-27,192.8439625
33,2022-05-28,188.11676250000002
34,2022-05-29,202.56077916666666
35,2022-05-30,209.49035
36,2022-05-31,219.15295
37,2022-06-01,220.43241666666665
38,2022-06-02,216.7189125
39,2022-06-03,209.1812
40,2022-06-04,206.25034583333334
41,2022-06-05,202.83704166666666
42,2022-06-06,202.34203749999998
43,2022-06-07,202.60104166666667
44,2022-06-08,204.1172625
45,2022-06-09,216.54634583333333
46,2022-06-10,226.72956666666667
47,2022-06-11,225.859925
48,2022-06-12,223.6867083333333
49,2022-06-13,205.76997500000002
50,2022-06-14,202.75366666666665
51,2022-06-15,197.95681666666667
52,2022-06-16,201.02437083333334
53,2022-06-17,196.48761249999998
54,2022-06-18,199.3149791666667
55,2022-06-19,192.42561666666666
56,2022-06-20,192.09575833333335
57,2022-06-21,175.9647625
58,2022-06-22,169.018775
59,2022-06-23,150.65519166666667
60,2022-06-24,153.51352916666667
61,2022-06-25,132.33066916666667
62,2022-06-26,129.35697083333335
63,2022-06-27,102.01715166666668
64,2022-06-28,113.33440458333332
65,2022-06-29,133.56247916666666
66,2022-06-30,157.09008333333333
67,2022-07-01,150.30490416666666
68,2022-07-02,135.20433375000002
69,2022-07-03,85.45370583333333
70,2022-07-04,141.42443166666666
71,2022-07-05,132.005515
72,2022-07-06,160.49587958333333
73,2022-07-07,160.50721666666666
74,2022-07-08,162.06301249999999
75,2022-07-09,179.91531666666666
76,2022-07-10,243.00537916666667
77,2022-07-11,196.2699
78,2022-07-12,190.59350416666666
79,2022-07-13,186.09260833333335
80,2022-07-14,182.33030416666668
81,2022-07-15,141.11072416666667
82,2022-07-16,159.4121375
83,2022-07-17,156.25164583333333
84,2022-07-18,159.6183875
85,2022-07-19,175.3257166666667
86,2022-07-20,174.98415833333334
87,2022-07-21,186.85709999999997
88,2022-07-22,174.30031666666665
89,2022-07-23,157.3590625
90,2022-07-24,162.7223
91,2022-07-25,161.72405
92,2022-07-26,146.30085833333334
93,2022-07-27,133.23254583333332
94,2022-07-28,124.04752500000001
95,2022-07-29,142.8924125
96,2022-07-30,131.58326250000002
97,2022-07-31,156.13263750000002
98,2022-08-01,158.4515875
99,2022-08-02,157.877525
100,2022-08-03,154.25327916666666
101,2022-08-04,131.03701208333334
102,2022-08-05,105.76970041666668
103,2022-08-06,136.22012416666666
104,2022-08-07,136.674845
105,2022-08-08,185.9704875
106,2022-08-09,173.72705416666668
107,2022-08-10,139.56295916666667
108,2022-08-11,140.943025
109,2022-08-12,180.82437083333332
110,2022-08-13,187.10479166666667
111,2022-08-14,186.34102499999997
112,2022-08-15,154.6582
113,2022-08-16,141.13314583333332
114,2022-08-17,144.40955
115,2022-08-18,158.8978875
116,2022-08-19,161.80155833333333
117,2022-08-20,163.10400833333333
118,2022-08-21,149.54939541666667
119,2022-08-22,91.32917250000001
120,2022-08-23,162.4738416666667
121,2022-08-24,146.97902166666668
122,2022-08-25,129.00243333333333
123,2022-08-26,77.0661825
124,2022-08-27,42.0263975
125,2022-08-28,40.85610625
126,2022-08-29,63.45154958333333
127,2022-08-30,117.0279775
128,2022-08-31,79.8078925
129,2022-09-01,123.90373125
130,2022-09-02,122.19416666666666
131,2022-09-03,131.28990833333333
132,2022-09-04,121.31610333333333
133,2022-09-05,131.69095416666667
134,2022-09-06,127.70674083333334
135,2022-09-07,78.897725
136,2022-09-08,115.34323333333333
137,2022-09-09,107.77199583333334
138,2022-09-10,133.95995000000002
139,2022-09-11,141.970325
140,2022-09-12,127.30644708333334
141,2022-09-13,111.91429208333334
142,2022-09-14,121.36316166666667
143,2022-09-15,132.39091166666665
144,2022-09-16,159.3530725
145,2022-09-17,142.06130249999998
146,2022-09-18,117.10630583333334
147,2022-09-19,157.35240458333334
148,2022-09-20,174.2708875
149,2022-09-21,169.23935833333334
150,2022-09-22,74.81180083333334
151,2022-09-23,163.85341666666667
152,2022-09-24,180.24220833333334
153,2022-09-25,158.38414833333334
154,2022-09-26,113.79445958333334
155,2022-09-27,67.57742833333333
156,2022-09-28,91.07305416666667
157,2022-09-29,162.33530541666667
158,2022-09-30,141.87219666666667
159,2022-10-01,98.50462916666667
160,2022-10-02,147.33133999999998
161,2022-10-03,178.5105583333333
162,2022-10-04,143.28695375
163,2022-10-05,83.54415791666666
164,2022-10-06,41.89512791666667
165,2022-10-07,39.81312916666666
166,2022-10-08,39.596024166666666
167,2022-10-09,45.88793833333333
168,2022-10-10,39.46760166666667
169,2022-10-11,43.53659041666666
