id,result,table,_time,temperature
0,_result,0,2023-01-01 00:00:00+00:00,6.09
1,_result,0,2023-01-01 00:10:00+00:00,6.0
2,_result,0,2023-01-01 00:20:00+00:00,5.99
3,_result,0,2023-01-01 00:30:00+00:00,5.84
4,_result,0,2023-01-01 00:40:00+00:00,5.6
5,_result,0,2023-01-01 00:50:00+00:00,5.52
6,_result,0,2023-01-01 01:00:00+00:00,5.52
7,_result,0,2023-01-01 01:10:00+00:00,5.56
8,_result,0,2023-01-01 01:20:00+00:00,5.55
9,_result,0,2023-01-01 01:30:00+00:00,5.48
10,_result,0,2023-01-01 01:40:00+00:00,5.46
11,_result,0,2023-01-01 01:50:00+00:00,5.44
12,_result,0,2023-01-01 02:00:00+00:00,5.44
13,_result,0,2023-01-01 02:10:00+00:00,5.44
14,_result,0,2023-01-01 02:20:00+00:00,5.42
15,_result,0,2023-01-01 02:30:00+00:00,5.41
16,_result,0,2023-01-01 02:40:00+00:00,5.41
17,_result,0,2023-01-01 02:50:00+00:00,5.37
18,_result,0,2023-01-01 03:00:00+00:00,5.37
19,_result,0,2023-01-01 03:10:00+00:00,5.35
20,_result,0,2023-01-01 03:20:00+00:00,5.33
21,_result,0,2023-01-01 03:30:00+00:00,5.28
22,_result,0,2023-01-01 03:40:00+00:00,5.25
23,_result,0,2023-01-01 03:50:00+00:00,5.23
24,_result,0,2023-01-01 04:00:00+00:00,5.22
25,_result,0,2023-01-01 04:10:00+00:00,5.15
26,_result,0,2023-01-01 04:20:00+00:00,5.18
27,_result,0,2023-01-01 04:30:00+00:00,5.21
28,_result,0,2023-01-01 04:40:00+00:00,5.21
29,_result,0,2023-01-01 04:50:00+00:00,5.21
30,_result,0,2023-01-01 05:00:00+00:00,5.19
31,_result,0,2023-01-01 05:10:00+00:00,5.33
32,_result,0,2023-01-01 05:20:00+00:00,5.54
33,_result,0,2023-01-01 05:30:00+00:00,5.68
34,_result,0,2023-01-01 05:40:00+00:00,5.46
35,_result,0,2023-01-01 05:50:00+00:00,5.35
